<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	00:00:00	28.221	28.342	27.966	28.209	7311	0	47
2024.04.15	04:00:00	28.209	28.549	28.152	28.367	6278	0	47
2024.04.15	08:00:00	28.367	28.530	28.179	28.505	5220	0	47
2024.04.15	12:00:00	28.505	28.779	28.078	28.601	10441	0	47
2024.04.15	16:00:00	28.606	28.869	28.460	28.856	7409	0	47
2024.04.15	20:00:00	28.848	28.958	28.788	28.863	1876	0	47
2024.04.16	00:00:00	28.869	28.997	28.609	28.816	5654	0	47
2024.04.16	04:00:00	28.814	28.846	28.226	28.259	6003	0	47
2024.04.16	08:00:00	28.257	28.415	28.216	28.364	5378	0	47
2024.04.16	12:00:00	28.364	28.507	27.929	28.211	10171	0	47
2024.04.16	16:00:00	28.211	28.406	28.114	28.190	7715	0	47
2024.04.16	20:00:00	28.190	28.195	28.040	28.153	1687	0	47
2024.04.17	00:00:00	28.157	28.241	28.047	28.123	4350	0	47
2024.04.17	04:00:00	28.123	28.407	28.097	28.379	5056	0	47
2024.04.17	08:00:00	28.379	28.561	28.365	28.461	4876	0	47
2024.04.17	12:00:00	28.465	28.780	28.345	28.436	8996	0	47
2024.04.17	16:00:00	28.438	28.489	28.099	28.260	7790	0	47
2024.04.17	20:00:00	28.255	28.265	28.103	28.206	1786	0	47
2024.04.18	00:00:00	28.204	28.392	28.115	28.383	4750	0	47
2024.04.18	04:00:00	28.383	28.593	28.340	28.411	4635	0	47
2024.04.18	08:00:00	28.407	28.499	28.369	28.406	4269	0	47
2024.04.18	12:00:00	28.406	28.632	28.135	28.326	9521	0	47
2024.04.18	16:00:00	28.331	28.430	28.214	28.260	5454	0	47
2024.04.18	20:00:00	28.262	28.263	28.183	28.215	1106	0	47
2024.04.19	00:00:00	28.212	28.921	28.068	28.345	8900	0	47
2024.04.19	04:00:00	28.341	28.494	28.143	28.378	6463	0	47
2024.04.19	08:00:00	28.378	28.378	28.116	28.170	5438	0	47
2024.04.19	12:00:00	28.172	28.623	28.047	28.606	8474	0	47
2024.04.19	16:00:00	28.608	28.766	28.502	28.646	5338	0	47
2024.04.19	20:00:00	28.653	28.670	28.599	28.650	605	0	47
2024.04.21	20:00:00	28.558	28.634	28.486	28.547	1431	0	47
2024.04.22	00:00:00	28.548	28.555	27.776	27.988	5755	0	47
2024.04.22	04:00:00	27.993	28.046	27.633	27.794	6255	0	47
2024.04.22	08:00:00	27.794	27.858	27.421	27.463	4775	0	47
2024.04.22	12:00:00	27.456	27.531	27.093	27.186	8845	0	47
2024.04.22	16:00:00	27.186	27.262	27.091	27.228	4095	0	47
2024.04.22	20:00:00	27.232	27.303	27.149	27.289	1421	0	47
2024.04.23	00:00:00	27.289	27.341	26.751	26.917	6632	0	47
