<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.18	1.08373	1.08475	1.07621	1.07745	23910	0	8
2023.05.19	1.07746	1.08283	1.07597	1.08058	30987	0	8
2023.05.21	1.08051	1.08238	1.08044	1.08215	682	0	10
2023.05.22	1.08216	1.08308	1.07950	1.08100	28256	0	8
2023.05.23	1.08102	1.08201	1.07599	1.07688	31232	0	8
2023.05.24	1.07686	1.08008	1.07403	1.07552	33583	0	8
2023.05.25	1.07553	1.07553	1.07070	1.07232	29654	0	8
2023.05.26	1.07232	1.07582	1.07013	1.07256	29220	0	8
2023.05.28	1.07187	1.07273	1.07164	1.07212	585	0	10
2023.05.29	1.07212	1.07431	1.07050	1.07064	10257	0	8
2023.05.30	1.07062	1.07461	1.06721	1.07313	30317	0	8
2023.05.31	1.07311	1.07352	1.06349	1.06930	36253	0	8
2023.06.01	1.06931	1.07679	1.06614	1.07601	32539	0	8
2023.06.02	1.07599	1.07786	1.07048	1.07074	29369	0	8
2023.06.04	1.07064	1.07079	1.06935	1.06965	802	0	10
2023.06.05	1.06965	1.07219	1.06741	1.07109	25440	0	8
2023.06.06	1.07108	1.07324	1.06666	1.06981	25229	0	8
2023.06.07	1.06982	1.07392	1.06679	1.07065	25657	0	8
2023.06.08	1.07067	1.07866	1.07006	1.07814	25973	0	8
2023.06.09	1.07815	1.07848	1.07424	1.07482	22752	0	8
2023.06.11	1.07461	1.07510	1.07413	1.07496	1041	0	10
2023.06.12	1.07497	1.07897	1.07328	1.07618	36759	0	8
2023.06.13	1.07619	1.08228	1.07589	1.07891	45732	0	8
2023.06.14	1.07891	1.08636	1.07737	1.08423	47779	0	8
2023.06.15	1.08425	1.09521	1.08034	1.09443	47793	0	8
2023.06.16	1.09447	1.09701	1.09176	1.09414	41737	0	8
2023.06.18	1.09323	1.09425	1.09298	1.09394	1250	0	10
2023.06.19	1.09395	1.09459	1.09067	1.09231	27343	0	8
2023.06.20	1.09233	1.09458	1.08916	1.09194	41497	0	8
2023.06.21	1.09195	1.09917	1.09052	1.09911	45006	0	8
2023.06.22	1.09912	1.10119	1.09481	1.09551	43845	0	8
2023.06.23	1.09552	1.09581	1.08441	1.08930	48113	0	8
2023.06.25	1.08973	1.09062	1.08938	1.09059	1395	0	10
2023.06.26	1.09060	1.09197	1.08869	1.09095	37046	0	8
2023.06.27	1.09096	1.09763	1.09016	1.09571	42908	0	8
2023.06.28	1.09570	1.09618	1.08964	1.09147	43916	0	8
2023.06.29	1.09148	1.09409	1.08585	1.08670	46851	0	8
2023.06.30	1.08671	1.09313	1.08349	1.09105	44359	0	8
2023.07.02	1.09099	1.09114	1.09063	1.09072	837	0	10
2023.07.03	1.09073	1.09322	1.08699	1.09124	37193	0	8
2023.07.04	1.09125	1.09160	1.08754	1.08820	25103	0	8
2023.07.05	1.08821	1.09074	1.08502	1.08547	39769	0	8
2023.07.06	1.08548	1.09002	1.08333	1.08893	53643	0	8
2023.07.07	1.08894	1.09728	1.08666	1.09685	49177	0	8
2023.07.09	1.09601	1.09678	1.09589	1.09665	1009	0	10
2023.07.10	1.09666	1.10054	1.09430	1.10049	39438	0	8
2023.07.11	1.10050	1.10265	1.09766	1.10132	38280	0	8
2023.07.12	1.10133	1.11401	1.10116	1.11400	48679	0	8
2023.07.13	1.11402	1.12276	1.11295	1.12230	46579	0	8
2023.07.14	1.12231	1.12444	1.12039	1.12281	44781	0	8
2023.07.16	1.12264	1.12297	1.12214	1.12269	1163	0	10
2023.07.17	1.12270	1.12482	1.12031	1.12370	34394	0	8
2023.07.18	1.12371	1.12754	1.12086	1.12279	51098	0	8
2023.07.19	1.12279	1.12398	1.11740	1.12046	46394	0	8
2023.07.20	1.12047	1.12286	1.11180	1.11341	43487	0	8
2023.07.21	1.11341	1.11446	1.11074	1.11249	38684	0	8
2023.07.23	1.11225	1.11297	1.11225	1.11240	1221	0	10
2023.07.24	1.11240	1.11465	1.10579	1.10625	46973	0	8
2023.07.25	1.10627	1.10864	1.10205	1.10495	38074	0	8
2023.07.26	1.10496	1.11062	1.10375	1.10775	51747	0	8
2023.07.27	1.10776	1.11492	1.09654	1.09777	67815	0	8
2023.07.28	1.09777	1.10470	1.09432	1.10165	67334	0	8
2023.07.30	1.10158	1.10266	1.10142	1.10233	1335	0	10
2023.07.31	1.10235	1.10453	1.09920	1.09962	42323	0	8
2023.08.01	1.09962	1.10162	1.09519	1.10072	44042	0	8
2023.08.02	1.10073	1.10075	1.09176	1.09430	49674	0	8
2023.08.03	1.09431	1.09623	1.09120	1.09506	54186	0	8
2023.08.04	1.09506	1.10415	1.09332	1.10085	48825	0	8
2023.08.06	1.10133	1.10141	1.09995	1.10020	1359	0	10
2023.08.07	1.10021	1.10114	1.09650	1.10022	35689	0	8
2023.08.08	1.10024	1.10105	1.09287	1.09588	42649	0	8
2023.08.09	1.09587	1.09949	1.09550	1.09768	37072	0	8
2023.08.10	1.09768	1.10643	1.09669	1.09812	55597	0	8
2023.08.11	1.09813	1.10046	1.09426	1.09468	44769	0	8
2023.08.13	1.09495	1.09506	1.09383	1.09428	1120	0	10
2023.08.14	1.09429	1.09596	1.08743	1.09073	44332	0	8
2023.08.15	1.09073	1.09520	1.08969	1.09034	50860	0	8
2023.08.16	1.09035	1.09341	1.08711	1.08740	46805	0	8
2023.08.17	1.08742	1.09177	1.08559	1.08739	48101	0	8
2023.08.18	1.08739	1.08935	1.08446	1.08724	43266	0	8
2023.08.20	1.08669	1.08766	1.08669	1.08744	1024	0	10
2023.08.21	1.08746	1.09131	1.08692	1.08972	39738	0	8
2023.08.22	1.08972	1.09299	1.08325	1.08460	40317	0	8
2023.08.23	1.08461	1.08711	1.08021	1.08650	48296	0	8
2023.08.24	1.08651	1.08761	1.07885	1.07981	41650	0	8
2023.08.25	1.07979	1.08412	1.07654	1.07947	48308	0	8
