<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.06.30	04:00:00	30737.84	31269.15	30599.27	30784.18	26679	0	892
2023.06.30	08:00:00	30784.35	30946.33	30730.23	30918.67	19932	0	1426
2023.06.30	12:00:00	30920.14	31120.73	29447.66	30058.21	41564	0	383
2023.06.30	16:00:00	30056.77	30713.93	29907.72	30364.77	32393	0	1426
2023.06.30	20:00:00	30362.62	30543.30	30331.44	30468.62	18748	0	1519
2023.07.01	00:00:00	30469.44	30535.50	30351.85	30391.15	20019	0	1486
2023.07.01	04:00:00	30391.76	30467.75	30309.21	30454.98	17098	0	1544
2023.07.01	08:00:00	30453.84	30601.24	30408.92	30529.01	16703	0	951
2023.07.01	12:00:00	30530.19	30660.48	30499.50	30564.30	18537	0	940
2023.07.01	16:00:00	30565.11	30640.98	30533.24	30602.10	16305	0	916
2023.07.01	20:00:00	30602.46	30613.40	30545.30	30592.83	15892	0	748
2023.07.02	00:00:00	30591.29	30647.12	30444.74	30502.75	20108	0	873
2023.07.02	04:00:00	30502.41	30553.85	30453.25	30509.21	16791	0	1133
2023.07.02	08:00:00	30509.05	30546.91	30471.83	30530.74	15352	0	980
2023.07.02	12:00:00	30530.69	30635.91	30147.74	30500.88	20588	0	867
2023.07.02	16:00:00	30499.22	30688.85	30357.99	30572.90	20610	0	880
2023.07.02	20:00:00	30571.85	30797.62	30426.44	30621.29	21624	0	841
2023.07.03	00:00:00	30623.25	30808.10	30590.76	30769.51	20005	0	898
2023.07.03	04:00:00	30769.82	30802.66	30612.49	30670.53	19273	0	445
2023.07.03	08:00:00	30668.83	30713.75	30581.21	30624.23	17549	0	1118
2023.07.03	12:00:00	30623.96	31173.78	30571.32	31068.47	24271	0	1195
2023.07.03	16:00:00	31068.06	31378.97	30826.43	31253.10	26436	0	867
2023.07.03	20:00:00	31253.80	31295.07	30908.81	31147.59	20163	0	905
2023.07.04	00:00:00	31147.37	31316.18	31096.78	31183.68	20265	0	311
2023.07.04	04:00:00	31184.58	31211.43	30884.73	30903.48	19737	0	970
2023.07.04	08:00:00	30904.42	31078.26	30861.72	31064.77	18497	0	1279
2023.07.04	12:00:00	31064.52	31081.56	30876.96	30957.00	19356	0	791
2023.07.04	16:00:00	30958.24	31116.15	30613.35	30686.38	24545	0	1476
2023.07.04	20:00:00	30686.98	30842.81	30650.79	30763.83	17111	0	1719
2023.07.05	00:00:00	30764.72	30880.98	30750.14	30871.20	16214	0	1451
2023.07.05	04:00:00	30871.46	30875.68	30763.92	30777.94	15981	0	1368
2023.07.05	08:00:00	30778.99	30806.54	30337.09	30398.35	23561	0	1637
2023.07.05	12:00:00	30398.80	30446.26	30199.34	30353.31	27231	0	2099
2023.07.05	16:00:00	30353.20	30595.07	30329.71	30429.32	22206	0	1952
2023.07.05	20:00:00	30430.96	30539.88	30380.19	30500.15	19273	0	1849
2023.07.06	00:00:00	30500.82	30558.91	30319.52	30490.95	19086	0	1824
2023.07.06	04:00:00	30491.01	30873.76	30435.86	30801.57	21690	0	1353
2023.07.06	08:00:00	30802.72	31487.64	30698.34	30847.01	31120	0	1169
2023.07.06	12:00:00	30845.14	30897.71	29883.68	30402.63	39255	0	478
2023.07.06	16:00:00	30404.77	30475.38	30164.23	30314.17	27318	0	1413
2023.07.06	20:00:00	30312.74	30348.37	29850.72	29889.76	24219	0	2029
2023.07.07	00:00:00	29887.90	30173.40	29697.03	30146.46	23978	0	2016
2023.07.07	04:00:00	30147.27	30307.35	29929.07	30012.13	20042	0	1921
2023.07.07	08:00:00	30010.71	30206.30	29961.86	30108.75	18956	0	2021
2023.07.07	12:00:00	30108.66	30456.84	30050.95	30395.64	27825	0	1579
2023.07.07	16:00:00	30394.12	30456.56	30112.51	30241.93	21764	0	1518
2023.07.07	20:00:00	30243.97	30359.25	30215.55	30351.36	16601	0	1316
2023.07.08	00:00:00	30351.37	30388.44	30257.63	30279.10	15965	0	1275
2023.07.08	04:00:00	30279.13	30281.69	30149.97	30194.22	16341	0	1731
2023.07.08	08:00:00	30195.17	30315.48	30160.48	30199.91	16322	0	1897
2023.07.08	12:00:00	30200.70	30251.58	30154.01	30212.73	16278	0	1926
2023.07.08	16:00:00	30212.74	30318.70	30032.08	30110.88	17065	0	1975
2023.07.08	20:00:00	30110.93	30303.52	30056.86	30292.07	16261	0	1655
2023.07.09	00:00:00	30292.61	30422.17	30247.41	30304.67	17640	0	922
2023.07.09	04:00:00	30305.09	30311.90	30225.38	30262.27	15505	0	1007
2023.07.09	08:00:00	30263.07	30319.00	30240.74	30264.11	15102	0	1257
2023.07.09	12:00:00	30263.73	30428.60	30187.97	30358.27	18772	0	767
2023.07.09	16:00:00	30358.52	30360.30	30204.94	30241.25	16112	0	1034
2023.07.09	20:00:00	30241.95	30259.53	30057.86	30161.55	17695	0	1988
2023.07.10	00:00:00	30159.16	30246.96	29938.47	30156.00	20387	0	2086
2023.07.10	04:00:00	30156.00	30160.18	30046.26	30106.52	16226	0	2010
2023.07.10	08:00:00	30107.42	30248.31	29998.26	30245.89	18028	0	2070
2023.07.10	12:00:00	30245.25	30358.99	30140.60	30313.69	20550	0	1728
2023.07.10	16:00:00	30313.00	30852.09	30233.48	30848.29	20713	0	1485
2023.07.10	20:00:00	30851.07	31052.24	30201.90	30413.02	24071	0	1104
2023.07.11	00:00:00	30412.55	30599.62	30359.78	30474.87	19940	0	1209
2023.07.11	04:00:00	30474.65	30663.75	30424.52	30538.86	18263	0	1145
2023.07.11	08:00:00	30538.27	30573.78	30337.72	30418.67	18334	0	1184
2023.07.11	12:00:00	30417.13	30806.57	30295.82	30606.73	22196	0	1249
2023.07.11	16:00:00	30608.28	30700.89	30399.26	30587.81	19975	0	1203
2023.07.11	20:00:00	30588.71	30656.92	30500.83	30630.68	16949	0	1117
2023.07.12	00:00:00	30629.27	30674.83	30499.80	30597.62	17300	0	619
2023.07.12	04:00:00	30598.27	30840.08	30565.27	30749.21	18268	0	1057
2023.07.12	08:00:00	30749.90	30809.04	30653.62	30787.47	16855	0	919
2023.07.12	12:00:00	30786.52	30969.19	30462.25	30513.43	28543	0	976
2023.07.12	16:00:00	30514.32	30540.78	30197.64	30275.76	21596	0	1348
2023.07.12	20:00:00	30276.66	30414.20	30218.58	30372.51	16591	0	1331
2023.07.13	00:00:00	30371.04	30431.60	30263.86	30298.74	16774	0	1377
2023.07.13	04:00:00	30298.77	30424.22	30240.50	30359.43	15989	0	1516
2023.07.13	08:00:00	30359.43	30638.84	30330.52	30552.89	27929	0	1419
2023.07.13	12:00:00	30551.41	31172.54	30458.23	30919.97	45851	0	1215
2023.07.13	16:00:00	30920.46	31798.89	30715.86	31637.38	69568	0	1372
2023.07.13	20:00:00	31635.60	31712.17	31027.04	31457.04	39584	0	457
2023.07.14	00:00:00	31458.50	31618.15	31325.06	31454.31	39396	0	1228
2023.07.14	04:00:00	31452.54	31468.46	31070.43	31099.83	31551	0	1232
2023.07.14	08:00:00	31099.60	31287.88	31077.43	31208.35	32781	0	1558
2023.07.14	12:00:00	31208.27	31357.63	31054.42	31239.89	37232	0	1566
2023.07.14	16:00:00	31239.98	31286.14	29901.14	30105.48	64143	0	1546
2023.07.14	20:00:00	30104.41	30310.04	29948.10	30307.75	32765	0	2027
2023.07.15	00:00:00	30308.17	30389.02	30226.20	30285.70	16898	0	1977
2023.07.15	04:00:00	30285.94	30362.86	30239.54	30336.54	15286	0	1170
2023.07.15	08:00:00	30336.64	30371.10	30273.47	30305.40	15212	0	1098
2023.07.15	12:00:00	30305.64	30353.26	30239.26	30292.78	15500	0	1223
2023.07.15	16:00:00	30292.99	30348.13	30242.05	30320.47	15456	0	1338
2023.07.15	20:00:00	30320.46	30320.75	30256.26	30274.14	14680	0	1401
2023.07.16	00:00:00	30275.01	30331.42	30040.99	30178.50	17213	0	1383
2023.07.16	04:00:00	30178.56	30298.11	30115.77	30255.67	15100	0	1302
2023.07.16	08:00:00	30256.71	30321.18	30250.39	30314.29	10625	0	1035
2023.07.16	12:00:00	30314.52	30440.42	30271.42	30374.95	16936	0	883
2023.07.16	16:00:00	30375.11	30407.41	30191.16	30245.26	17005	0	928
2023.07.16	20:00:00	30247.16	30361.19	30106.80	30227.59	16794	0	1139
2023.07.17	00:00:00	30228.37	30327.30	30166.51	30305.74	16564	0	1222
2023.07.17	04:00:00	30305.64	30316.52	30227.68	30278.41	14774	0	1186
2023.07.17	08:00:00	30278.33	30316.91	29962.45	30163.39	20209	0	1343
2023.07.17	12:00:00	30161.75	30296.69	30005.81	30168.49	22463	0	1399
2023.07.17	16:00:00	30169.49	30229.64	29657.89	29867.26	27687	0	1487
2023.07.17	20:00:00	29865.11	30283.29	29855.72	30130.61	19577	0	1226
2023.07.18	00:00:00	30131.61	30247.53	30059.28	30065.70	17906	0	1170
2023.07.18	04:00:00	30066.67	30120.08	29911.31	29958.85	19009	0	1250
2023.07.18	08:00:00	29958.91	30087.46	29802.30	29870.90	20403	0	1168
2023.07.18	12:00:00	29871.50	30010.23	29682.43	29887.49	25796	0	1410
2023.07.18	16:00:00	29887.14	29949.84	29499.18	29698.60	23320	0	1290
2023.07.18	20:00:00	29700.34	29848.34	29660.69	29837.38	17305	0	1280
2023.07.19	00:00:00	29837.42	30068.33	29819.21	30042.09	19117	0	1253
2023.07.19	04:00:00	30042.66	30180.85	29949.04	29983.75	17842	0	1186
2023.07.19	08:00:00	29984.27	30031.16	29853.44	29993.45	17486	0	1178
2023.07.19	12:00:00	29994.36	30112.68	29736.03	29933.70	22639	0	1270
2023.07.19	16:00:00	29932.29	30086.91	29849.15	30031.59	20481	0	1231
2023.07.19	20:00:00	30031.19	30053.53	29811.84	29896.52	17988	0	1238
2023.07.20	00:00:00	29896.45	30034.20	29861.38	29937.25	15784	0	1228
2023.07.20	04:00:00	29937.78	30220.46	29909.64	30188.22	17194	0	1209
2023.07.20	08:00:00	30187.14	30406.86	30151.13	30271.24	18567	0	1163
2023.07.20	12:00:00	30271.58	30307.14	29614.33	29788.42	19136	0	1152
2023.07.20	16:00:00	29788.34	29856.77	29552.32	29740.74	21796	0	1108
2023.07.20	20:00:00	29741.57	29883.21	29656.97	29787.96	17464	0	1249
2023.07.21	00:00:00	29787.77	29946.07	29722.41	29889.01	18099	0	1219
2023.07.21	04:00:00	29889.28	29901.35	29738.74	29749.97	16469	0	1136
2023.07.21	08:00:00	29749.85	29841.61	29707.92	29755.02	16795	0	1126
2023.07.21	12:00:00	29755.28	29901.27	29753.59	29848.44	19286	0	1116
2023.07.21	16:00:00	29848.32	30051.91	29746.39	29864.32	20993	0	1038
2023.07.21	20:00:00	29862.58	29951.18	29805.95	29891.66	15743	0	995
2023.07.22	00:00:00	29892.02	29988.87	29881.47	29890.56	16103	0	979
2023.07.22	04:00:00	29890.82	29979.78	29825.11	29940.21	22476	0	1020
2023.07.22	08:00:00	29940.47	29974.73	29851.88	29876.01	21307	0	867
2023.07.22	12:00:00	29876.38	29900.71	29809.61	29891.38	23957	0	1402
2023.07.22	16:00:00	29891.71	29901.52	29782.71	29819.84	23352	0	1319
2023.07.22	20:00:00	29819.41	29832.60	29599.93	29776.19	23943	0	1705
2023.07.23	00:00:00	29777.14	29888.62	29711.25	29838.89	27223	0	1122
2023.07.23	04:00:00	29838.80	29973.30	29834.66	29908.33	24908	0	670
2023.07.23	08:00:00	29908.90	29960.81	29874.34	29883.38	23404	0	740
2023.07.23	12:00:00	29883.43	29923.07	29830.89	29889.45	22716	0	827
2023.07.23	16:00:00	29887.88	30341.98	29882.07	30079.72	35562	0	710
2023.07.23	20:00:00	30080.22	30135.92	29898.51	30073.03	27829	0	878
2023.07.24	00:00:00	30073.14	30088.13	29649.38	29697.10	33144	0	951
2023.07.24	04:00:00	29697.91	29852.36	29641.04	29809.78	26453	0	1673
2023.07.24	08:00:00	29810.03	29819.27	28960.67	29266.64	40759	0	1536
2023.07.24	12:00:00	29266.82	29267.63	28839.10	29073.59	33781	0	1727
2023.07.24	16:00:00	29073.75	29153.46	28975.06	29118.51	19000	0	1801
2023.07.24	20:00:00	29120.35	29204.17	29076.33	29180.91	16224	0	1710
2023.07.25	00:00:00	29179.91	29186.26	29046.83	29119.75	16569	0	1648
2023.07.25	04:00:00	29119.74	29165.57	29067.74	29148.28	15218	0	1557
2023.07.25	08:00:00	29147.05	29272.42	29106.47	29119.67	16302	0	1509
