<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.04.02	1820.16	1823.90	1772.53	1794.32	69425	0	115
2023.04.03	1794.31	1838.16	1763.39	1809.43	73798	0	106
2023.04.04	1809.39	1888.59	1801.21	1869.43	74656	0	134
2023.04.05	1869.43	1938.01	1863.33	1907.41	76751	0	166
2023.04.06	1906.91	1908.40	1853.90	1870.86	76226	0	181
2023.04.07	1870.62	1880.71	1840.48	1862.46	74309	0	239
2023.04.08	1862.43	1877.43	1845.33	1847.07	66188	0	191
2023.04.09	1846.93	1871.51	1824.45	1857.37	69948	0	191
2023.04.10	1857.34	1917.44	1845.48	1909.10	72036	0	227
2023.04.11	1909.17	1936.07	1881.77	1889.25	73396	0	199
2023.04.12	1889.33	1930.72	1853.06	1918.03	75409	0	190
2023.04.13	1917.98	2021.04	1899.03	2011.43	76049	0	164
2023.04.14	2011.48	2126.89	2008.67	2101.09	79806	0	152
2023.04.15	2101.13	2110.43	2072.68	2091.12	73813	0	130
2023.04.16	2091.02	2139.47	2073.57	2118.02	72789	0	122
2023.04.17	2117.66	2119.81	2057.70	2074.63	75197	0	129
2023.04.18	2074.77	2121.96	2053.07	2104.05	74496	0	129
2023.04.19	2104.16	2105.12	1925.07	1935.42	78558	0	141
2023.04.20	1934.83	1982.27	1916.46	1943.24	79056	0	135
2023.04.21	1943.24	1956.35	1825.17	1846.88	79292	0	181
2023.04.22	1846.96	1886.82	1842.91	1873.81	72462	0	176
2023.04.23	1873.88	1881.96	1836.94	1861.93	73823	0	180
2023.04.24	1861.94	1889.77	1806.37	1840.92	76585	0	164
2023.04.25	1841.06	1877.00	1802.43	1865.60	75736	0	189
2023.04.26	1865.57	1964.39	1786.57	1866.09	80642	0	155
2023.04.27	1866.11	1937.58	1861.49	1909.29	82521	0	160
2023.04.28	1909.12	1924.50	1874.75	1892.38	78243	0	142
2023.04.29	1892.54	1918.46	1883.71	1908.37	74083	0	140
2023.04.30	1908.31	1938.82	1866.06	1869.51	76055	0	161
2023.05.01	1870.20	1886.99	1806.02	1830.99	77937	0	144
2023.05.02	1831.02	1881.21	1822.49	1870.08	76922	0	156
2023.05.03	1870.02	1915.15	1842.39	1903.89	78398	0	169
2023.05.04	1904.19	1916.05	1867.51	1877.15	74016	0	178
