<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.02.21	1786.332	1788.083	1781.291	1783.358	3526	0	0
2021.02.22	1783.408	1812.551	1780.648	1810.406	99443	0	0
2021.02.23	1810.410	1815.906	1795.606	1805.766	92028	0	0
2021.02.24	1805.795	1813.717	1783.473	1802.995	100857	0	0
2021.02.25	1803.002	1804.143	1765.136	1769.860	143593	0	0
2021.02.26	1769.909	1775.714	1717.030	1734.649	192583	0	0
2021.02.28	1737.958	1739.940	1735.286	1739.239	4219	0	0
2021.03.01	1739.206	1759.715	1719.641	1724.988	131463	0	0
2021.03.02	1724.957	1740.464	1707.075	1736.558	138311	0	0
2021.03.03	1736.547	1737.475	1701.643	1710.468	140814	0	0
2021.03.04	1710.464	1723.100	1690.443	1694.310	177833	0	0
2021.03.05	1694.277	1707.631	1687.180	1700.836	151645	0	0
2021.03.07	1706.301	1713.915	1706.268	1707.726	4831	0	0
2021.03.08	1707.706	1714.253	1676.627	1684.653	129287	0	0
2021.03.09	1684.620	1720.566	1680.179	1715.881	125320	0	0
2021.03.10	1715.864	1727.104	1708.131	1726.691	119567	0	0
2021.03.11	1726.699	1739.804	1719.025	1722.645	113906	0	0
2021.03.12	1722.676	1729.171	1699.094	1726.749	121762	0	0
2021.03.14	1728.251	1728.348	1724.244	1725.335	5273	0	0
2021.03.15	1725.330	1734.524	1721.616	1730.698	105076	0	0
2021.03.16	1730.665	1741.077	1725.967	1731.595	100991	0	0
2021.03.17	1731.546	1751.549	1723.856	1748.464	115320	0	0
2021.03.18	1748.430	1755.478	1719.080	1735.193	139744	0	0
2021.03.19	1735.188	1746.644	1728.484	1745.127	115322	0	0
2021.03.21	1743.714	1744.315	1737.981	1738.234	5917	0	0
2021.03.22	1738.225	1743.047	1727.168	1739.306	103122	0	0
2021.03.23	1739.300	1742.509	1724.663	1727.082	104505	0	0
2021.03.24	1727.097	1738.364	1723.746	1734.483	93258	0	0
2021.03.25	1734.492	1745.401	1721.498	1727.293	108671	0	0
2021.03.26	1727.316	1736.683	1721.448	1732.329	85806	0	0
2021.03.28	1731.377	1732.549	1730.611	1730.999	3554	0	0
2021.03.29	1731.014	1732.835	1705.736	1711.932	91896	0	0
2021.03.30	1711.938	1714.342	1678.392	1685.489	114895	0	0
2021.03.31	1685.488	1715.214	1677.835	1707.403	106956	0	0
2021.04.01	1707.405	1730.545	1705.761	1729.750	103418	0	0
2021.04.04	1728.462	1729.917	1726.908	1728.011	4911	0	0
2021.04.05	1727.974	1733.491	1721.285	1729.367	92494	0	0
2021.04.06	1729.337	1745.434	1727.537	1743.252	103910	0	0
2021.04.07	1743.217	1743.332	1730.607	1736.836	93485	0	0
2021.04.08	1736.806	1758.645	1733.133	1754.148	93825	0	0
2021.04.09	1754.178	1757.281	1731.102	1743.842	102192	0	0
2021.04.11	1742.481	1743.475	1740.490	1741.591	3757	0	0
2021.04.12	1741.557	1744.932	1727.324	1731.898	97619	0	0
2021.04.13	1731.902	1748.878	1723.591	1746.581	114510	0	0
2021.04.14	1746.575	1749.367	1732.473	1736.625	102485	0	0
2021.04.15	1736.595	1769.581	1734.297	1763.901	113075	0	0
2021.04.16	1763.870	1783.789	1759.729	1776.523	100557	0	0
2021.04.18	1775.640	1778.053	1774.762	1776.723	3628	0	0
2021.04.19	1776.692	1789.987	1766.526	1772.112	106489	0	0
2021.04.20	1772.115	1780.365	1763.547	1776.737	113787	0	0
2021.04.21	1776.742	1797.549	1776.454	1793.570	96146	0	0
2021.04.22	1793.619	1797.756	1777.332	1783.136	102382	0	0
2021.04.23	1783.126	1795.879	1769.799	1777.023	95463	0	0
2021.04.25	1775.596	1775.980	1773.860	1774.789	2870	0	0
2021.04.26	1774.803	1783.439	1768.492	1780.040	95890	0	0
2021.04.27	1780.046	1785.514	1773.692	1775.436	92629	0	0
2021.04.28	1775.430	1783.905	1762.458	1783.818	111157	0	0
2021.04.29	1783.782	1789.896	1755.874	1773.221	109708	0	0
2021.04.30	1773.220	1773.220	1764.164	1768.776	102732	0	0
2021.05.02	1767.058	1769.024	1766.046	1769.017	3250	0	0
2021.05.03	1768.980	1797.826	1767.314	1792.472	86865	0	0
2021.05.04	1792.425	1798.951	1770.571	1778.627	106263	0	0
2021.05.05	1778.595	1787.898	1770.306	1785.219	95885	0	0
2021.05.06	1785.220	1817.973	1781.934	1814.725	89822	0	0
2021.05.07	1814.715	1843.262	1812.845	1830.979	106203	0	0
2021.05.09	1832.896	1836.787	1831.996	1836.162	4185	0	0
2021.05.10	1836.184	1845.322	1829.947	1836.043	94314	0	0
2021.05.11	1836.045	1841.709	1817.796	1835.433	97911	0	0
2021.05.12	1835.438	1843.462	1813.230	1817.489	113415	0	0
2021.05.13	1817.443	1828.609	1808.675	1825.024	97266	0	0
2021.05.14	1825.026	1845.923	1819.661	1843.486	85156	0	0
2021.05.16	1843.784	1847.964	1843.784	1847.074	3875	0	0
2021.05.17	1847.049	1868.974	1843.540	1868.913	82902	0	0
2021.05.18	1868.871	1874.875	1863.164	1870.086	82879	0	0
2021.05.19	1870.085	1889.786	1852.125	1865.806	112897	0	0
2021.05.20	1865.852	1883.770	1863.801	1873.961	86462	0	0
2021.05.21	1873.940	1889.284	1870.065	1881.659	80481	0	0
2021.05.23	1880.985	1883.761	1880.148	1883.459	3008	0	0
2021.05.24	1883.457	1886.973	1874.967	1877.361	74158	0	0
