<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.03.14	20:30:00	1953.813	1954.189	1952.618	1952.646	542	0	200
2022.03.14	20:45:00	1952.652	1953.210	1950.197	1950.585	679	0	200
2022.03.14	22:00:00	1952.434	1954.053	1951.956	1953.237	630	0	200
2022.03.14	22:15:00	1953.228	1953.787	1952.728	1952.792	281	0	200
2022.03.14	22:30:00	1952.790	1953.898	1952.071	1952.992	444	0	200
2022.03.14	22:45:00	1952.960	1954.191	1952.702	1953.490	397	0	200
2022.03.14	23:00:00	1953.481	1954.174	1951.252	1953.886	647	0	200
2022.03.14	23:15:00	1953.873	1954.484	1953.471	1953.782	424	0	200
2022.03.14	23:30:00	1953.792	1954.617	1953.064	1953.324	477	0	200
2022.03.14	23:45:00	1953.342	1953.903	1951.936	1952.184	554	0	200
2022.03.15	00:00:00	1952.176	1952.208	1945.591	1949.501	1794	0	200
2022.03.15	00:15:00	1949.512	1951.353	1949.290	1950.441	861	0	200
2022.03.15	00:30:00	1950.472	1951.772	1949.233	1951.479	866	0	200
2022.03.15	00:45:00	1951.480	1951.801	1946.031	1948.236	1383	0	200
2022.03.15	01:00:00	1948.201	1950.632	1947.349	1948.515	1709	0	200
2022.03.15	01:15:00	1948.511	1948.513	1941.478	1942.879	2484	0	200
2022.03.15	01:30:00	1942.909	1944.547	1941.487	1941.560	1698	0	200
2022.03.15	01:45:00	1941.542	1941.988	1939.371	1941.137	1922	0	200
2022.03.15	02:00:00	1941.108	1945.276	1941.049	1944.691	1312	0	200
2022.03.15	02:15:00	1944.713	1944.713	1941.964	1943.347	995	0	200
2022.03.15	02:30:00	1943.344	1945.496	1943.193	1944.139	1239	0	200
2022.03.15	02:45:00	1944.171	1944.634	1942.951	1943.101	899	0	200
2022.03.15	03:00:00	1943.098	1943.727	1941.676	1941.676	764	0	200
2022.03.15	03:15:00	1941.666	1943.240	1941.438	1942.253	800	0	200
2022.03.15	03:30:00	1942.264	1942.394	1941.303	1941.732	663	0	200
2022.03.15	03:45:00	1941.712	1942.681	1940.510	1942.142	856	0	200
2022.03.15	04:00:00	1942.154	1942.336	1939.876	1940.872	1038	0	200
2022.03.15	04:15:00	1940.876	1941.743	1938.999	1941.512	979	0	200
2022.03.15	04:30:00	1941.480	1941.480	1939.539	1939.815	767	0	200
2022.03.15	04:45:00	1939.813	1939.821	1935.848	1935.880	987	0	200
