<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.09	136.080	138.904	136.023	138.426	68480	0	0
2020.11.10	138.445	139.764	138.159	139.552	61780	0	0
2020.11.11	139.578	140.305	139.199	139.356	49085	0	0
2020.11.12	139.389	139.405	137.740	137.866	46688	0	0
2020.11.13	137.894	138.503	137.537	138.067	36519	0	0
2020.11.15	137.986	138.392	137.844	138.346	2338	0	0
2020.11.16	138.373	138.863	137.659	138.173	45003	0	0
2020.11.17	138.201	138.348	137.809	138.065	40170	0	0
2020.11.18	138.093	138.170	137.589	137.641	36757	0	0
2020.11.19	137.670	137.995	137.187	137.493	42203	0	0
2020.11.20	137.514	138.052	137.485	137.976	33368	0	0
2020.11.22	137.946	138.107	137.844	138.081	2540	0	0
2020.11.23	138.109	139.333	138.077	139.267	39826	0	0
2020.11.24	139.293	139.832	139.113	139.610	41999	0	0
2020.11.25	139.635	139.848	138.996	139.691	40975	0	0
2020.11.26	139.719	139.781	138.920	139.180	27898	0	0
2020.11.27	139.209	139.217	138.260	138.563	34834	0	0
2020.11.29	138.671	138.810	138.473	138.710	1828	0	0
2020.11.30	138.755	139.460	138.407	139.061	45545	0	0
2020.12.01	139.088	140.299	138.956	139.952	48119	0	0
2020.12.02	139.980	140.439	138.886	139.596	49478	0	0
2020.12.03	139.624	140.278	139.519	139.632	44895	0	0
2020.12.04	139.667	140.697	139.439	139.953	51096	0	0
2020.12.06	139.637	139.827	139.571	139.762	2985	0	0
2020.12.07	139.790	139.818	137.899	138.874	58641	0	0
2020.12.08	138.897	139.368	138.401	139.147	53450	0	0
2020.12.09	139.174	140.323	138.952	139.349	44650	0	0
2020.12.10	139.375	139.655	138.383	138.544	51688	0	0
2020.12.11	138.570	138.621	136.784	137.546	49832	0	0
2020.12.13	138.650	138.654	138.303	138.386	3688	0	0
2020.12.14	138.433	139.427	138.263	138.562	46986	0	0
2020.12.15	138.591	139.564	138.274	139.340	49915	0	0
2020.12.16	139.369	140.057	139.142	139.679	49200	0	0
2020.12.17	139.706	140.439	139.587	139.923	45689	0	0
2020.12.18	139.951	140.315	139.310	139.615	41846	0	0
2020.12.20	138.839	138.990	138.432	138.627	3313	0	0
2020.12.21	138.666	139.517	136.963	138.926	67108	0	0
2020.12.22	138.954	139.119	137.992	138.692	57085	0	0
2020.12.23	138.717	140.308	138.535	139.863	59237	0	0
2020.12.24	139.891	141.209	139.850	140.395	40550	0	0
2020.12.27	140.286	140.480	140.232	140.454	1493	0	0
2020.12.28	140.482	140.565	139.471	139.622	41038	0	0
2020.12.29	139.650	140.165	139.614	139.738	45095	0	0
2020.12.30	139.766	140.660	139.707	140.516	43661	0	0
2020.12.31	140.544	141.219	140.358	141.143	39108	0	0
2021.01.03	140.851	141.273	140.849	141.211	1885	0	0
2021.01.04	141.239	141.273	139.685	139.926	52858	0	0
2021.01.05	139.954	140.145	139.508	139.897	49313	0	0
2021.01.06	139.925	140.570	139.767	140.323	62478	0	0
2021.01.07	140.350	140.987	140.101	140.806	52740	0	0
2021.01.08	140.838	141.367	140.733	140.984	53819	0	0
2021.01.10	140.956	140.957	140.587	140.671	2415	0	0
2021.01.11	140.699	140.922	140.334	140.794	44378	0	0
2021.01.12	140.822	142.018	140.745	141.759	43185	0	0
2021.01.13	141.786	142.251	141.521	141.664	40322	0	0
2021.01.14	141.692	142.232	141.622	142.046	43498	0	0
2021.01.15	142.074	142.106	140.948	141.099	37879	0	0
2021.01.17	141.088	141.166	140.971	140.987	1619	0	0
2021.01.18	141.014	141.082	140.353	140.825	32457	0	0
2021.01.19	140.854	141.743	140.828	141.726	34906	0	0
2021.01.20	141.754	142.325	141.074	141.491	37396	0	0
2021.01.21	141.521	142.209	141.423	142.069	36242	0	0
2021.01.22	142.097	142.198	141.506	141.961	31526	0	0
2021.01.24	141.976	142.053	141.896	142.006	1973	0	0
2021.01.25	142.035	142.316	141.647	141.878	34640	0	0
2021.01.26	141.906	142.446	141.276	142.324	31923	0	0
2021.01.27	142.353	142.854	142.194	142.333	40849	0	0
2021.01.28	142.361	143.261	142.183	143.117	42347	0	0
2021.01.29	143.145	143.947	142.987	143.456	46279	0	0
2021.01.31	143.553	143.593	143.345	143.402	2388	0	0
2021.02.01	143.430	144.092	143.243	143.400	37622	0	0
2021.02.02	143.428	143.767	143.126	143.426	35081	0	0
2021.02.03	143.454	143.681	143.106	143.281	31281	0	0
2021.02.04	143.310	144.355	142.832	144.305	37008	0	0
2021.02.05	144.339	144.884	144.248	144.686	32174	0	0
2021.02.07	144.517	144.776	144.517	144.759	2764	0	0
2021.02.08	144.786	144.922	144.401	144.587	28955	0	0
2021.02.09	144.615	144.663	144.029	144.452	31602	0	0
2021.02.10	144.480	145.060	144.367	144.658	32421	0	0
2021.02.11	144.686	144.897	144.568	144.639	25644	0	0
2021.02.12	144.667	145.470	144.492	145.345	25664	0	0
2021.02.14	145.347	145.710	145.342	145.683	2394	0	0
2021.02.15	145.711	146.625	145.641	146.578	25865	0	0
2021.02.16	146.606	147.530	146.513	147.311	37308	0	0
2021.02.17	147.339	147.359	146.411	146.740	36141	0	0
2021.02.18	146.768	147.782	146.544	147.534	33326	0	0
2021.02.19	147.562	148.150	147.279	147.654	32003	0	0
2021.02.21	147.727	148.018	147.692	148.005	2525	0	0
2021.02.22	148.033	148.286	147.536	147.687	37420	0	0
2021.02.23	147.715	148.636	147.656	148.633	34485	0	0
2021.02.24	148.662	150.114	148.637	149.852	46095	0	0
2021.02.25	149.880	150.432	148.473	148.950	56708	0	0
2021.02.26	148.978	149.071	147.397	148.284	69793	0	0
2021.02.28	148.355	148.845	148.354	148.759	3740	0	0
2021.03.01	148.788	149.288	148.331	148.789	44440	0	0
2021.03.02	148.815	149.186	148.107	148.938	43983	0	0
2021.03.03	148.966	149.687	148.880	149.022	45998	0	0
2021.03.04	149.047	150.722	149.042	149.945	53566	0	0
2021.03.05	149.973	150.361	149.354	149.938	59699	0	0
2021.03.07	149.578	150.314	149.576	150.106	3040	0	0
2021.03.08	150.141	150.690	149.679	150.519	47145	0	0
2021.03.09	150.547	151.270	150.487	150.750	50158	0	0
2021.03.10	150.778	151.180	150.640	151.039	43149	0	0
2021.03.11	151.066	151.844	150.966	151.834	38866	0	0
2021.03.12	151.862	152.228	151.224	151.732	40028	0	0
2021.03.14	151.699	152.019	151.641	151.988	2242	0	0
2021.03.15	151.989	152.107	151.193	151.662	35369	0	0
2021.03.16	151.664	151.744	150.781	151.568	35851	0	0
2021.03.17	151.565	152.185	151.336	152.182	39972	0	0
2021.03.18	152.179	152.544	151.453	151.659	46919	0	0
2021.03.19	151.656	151.793	150.559	150.912	39383	0	0
2021.03.21	150.324	150.766	150.224	150.604	2866	0	0
2021.03.22	150.605	150.914	150.325	150.748	32359	0	0
2021.03.23	150.751	150.770	148.911	149.009	38056	0	0
2021.03.24	149.005	149.437	148.522	148.910	36012	0	0
2021.03.25	148.909	150.128	148.904	150.073	36182	0	0
2021.03.26	150.077	151.537	150.030	151.272	31491	0	0
2021.03.28	151.245	151.422	151.136	151.397	1968	0	0
2021.03.29	151.400	151.798	150.576	151.284	35879	0	0
2021.03.30	151.285	151.935	151.146	151.610	35599	0	0
2021.03.31	151.612	152.773	151.549	152.677	40179	0	0
2021.04.01	152.674	153.062	152.286	152.982	34130	0	0
2021.04.02	152.981	153.167	152.692	153.032	23228	0	0
2021.04.04	152.910	153.070	152.839	153.064	2322	0	0
2021.04.05	153.063	153.358	152.879	153.297	24499	0	0
2021.04.06	153.299	153.400	151.628	151.842	36853	0	0
2021.04.07	151.840	152.064	150.653	150.949	38763	0	0
2021.04.08	150.950	151.080	149.878	150.140	35548	0	0
2021.04.09	150.144	150.926	149.585	150.276	32766	0	0
2021.04.11	150.363	150.450	150.178	150.392	1727	0	0
2021.04.12	150.394	150.578	149.752	150.431	32060	0	0
2021.04.13	150.430	150.821	149.665	149.860	37718	0	0
2021.04.14	149.859	150.451	149.580	150.023	33676	0	0
2021.04.15	150.024	150.192	149.679	149.807	33834	0	0
2021.04.16	149.804	150.595	149.376	150.574	32341	0	0
2021.04.18	150.424	150.483	150.217	150.218	2230	0	0
2021.04.19	150.219	151.314	149.882	151.250	41027	0	0
2021.04.20	151.249	151.969	150.555	150.709	37193	0	0
2021.04.21	150.707	150.961	150.038	150.509	33684	0	0
2021.04.22	150.507	150.642	149.318	149.433	37188	0	0
2021.04.23	149.434	149.943	149.054	149.723	33499	0	0
2021.04.25	149.681	149.796	149.568	149.571	1580	0	0
2021.04.26	149.573	150.372	149.531	150.333	35391	0	0
2021.04.27	150.330	151.257	150.141	151.188	32898	0	0
2021.04.28	151.189	151.562	151.006	151.407	38086	0	0
2021.04.29	151.406	152.400	151.327	151.917	35977	0	0
2021.04.30	151.919	152.107	150.865	151.026	38355	0	0
2021.05.02	150.916	151.087	150.895	151.010	1162	0	0
2021.05.03	151.013	151.925	151.013	151.657	31893	0	0
2021.05.04	151.658	152.048	150.991	151.825	38769	0	0
2021.05.05	151.826	152.223	151.728	151.903	31020	0	0
2021.05.06	151.901	152.116	151.241	151.525	42580	0	0
2021.05.07	151.523	152.108	151.257	151.882	39044	0	0
2021.05.09	151.980	152.450	151.925	152.435	2556	0	0
2021.05.10	152.433	154.019	152.390	153.799	41498	0	0
2021.05.11	153.800	153.954	153.138	153.668	41882	0	0
2021.05.12	153.667	154.424	153.517	154.203	46593	0	0
2021.05.13	154.206	154.330	153.462	153.822	43618	0	0
2021.05.14	153.819	154.276	153.606	154.148	32877	0	0
2021.05.16	154.099	154.287	153.952	154.282	1562	0	0
2021.05.17	154.279	154.544	153.725	154.542	32738	0	0
2021.05.18	154.545	154.823	154.415	154.445	33899	0	0
2021.05.19	154.446	154.803	153.535	154.133	47066	0	0
2021.05.20	154.131	154.442	153.617	154.409	36429	0	0
2021.05.21	154.412	154.671	154.004	154.155	34083	0	0
2021.05.23	154.171	154.190	154.001	154.001	1393	0	0
2021.05.24	154.003	154.149	153.763	154.073	29988	0	0
2021.05.25	154.070	154.442	153.768	153.852	36494	0	0
2021.05.26	153.855	154.338	153.768	154.085	33964	0	0
2021.05.27	154.087	156.065	153.835	155.952	38584	0	0
2021.05.28	155.953	156.050	155.582	155.855	36196	0	0
2021.05.30	155.747	155.902	155.695	155.839	1214	0	0
2021.05.31	155.837	155.862	155.293	155.767	27707	0	0
2021.06.01	155.764	155.927	154.811	154.987	36517	0	0
2021.06.02	154.988	155.494	154.957	155.298	33058	0	0
2021.06.03	155.300	155.805	155.291	155.589	35734	0	0
2021.06.04	155.590	155.747	155.004	155.067	33736	0	0
2021.06.06	155.020	155.266	154.884	155.259	1970	0	0
2021.06.07	155.256	155.274	154.543	154.894	29858	0	0
2021.06.08	154.895	155.081	154.550	154.883	28897	0	0
2021.06.09	154.886	155.306	154.476	154.669	26431	0	0
2021.06.10	154.668	155.204	154.120	155.009	35179	0	0
2021.06.11	155.012	155.203	154.633	154.779	27538	0	0
2021.06.13	154.598	154.902	154.574	154.884	1634	0	0
2021.06.14	154.887	155.339	154.311	155.258	26139	0	0
2021.06.15	155.257	155.476	154.528	154.997	28248	0	0
2021.06.16	154.996	155.367	154.668	154.950	34748	0	0
2021.06.17	154.952	155.006	153.137	153.761	43324	0	0
2021.06.18	153.758	153.763	151.986	152.054	41098	0	0
2021.06.20	152.223	152.317	151.996	152.254	2288	0	0
2021.06.21	152.252	153.765	151.311	153.670	42121	0	0
2021.06.22	153.673	154.459	153.089	154.347	33772	0	0
2021.06.23	154.344	155.146	154.227	155.037	34579	0	0
2021.06.24	155.039	155.137	153.822	154.352	36874	0	0
2021.06.25	154.353	154.525	153.593	153.750	28819	0	0
2021.06.27	153.851	153.997	153.734	153.977	1736	0	0
2021.06.28	153.974	154.220	153.382	153.497	30418	0	0
2021.06.29	153.496	153.514	152.609	152.974	31649	0	0
2021.06.30	152.973	153.743	152.659	153.670	35126	0	0
2021.07.01	153.673	153.964	153.348	153.504	33862	0	0
2021.07.02	153.503	153.728	153.076	153.582	43065	0	0
2021.07.04	153.446	153.742	153.425	153.714	3850	0	0
2021.07.05	153.714	153.718	153.455	153.648	27403	0	20
2021.07.06	153.649	154.064	152.349	152.668	39320	0	20
2021.07.07	152.667	153.161	152.283	152.664	40870	0	20
2021.07.08	152.665	152.683	150.662	151.404	52712	0	20
2021.07.09	151.407	153.075	151.168	153.065	42955	0	20
2021.07.11	153.035	153.233	152.925	153.180	4176	0	0
2021.07.12	153.180	153.336	152.405	153.197	35041	0	20
2021.07.13	153.200	153.476	152.414	152.677	36981	0	20
2021.07.14	152.677	153.285	152.333	152.408	39243	0	20
2021.07.15	152.407	152.795	151.602	151.798	44348	0	20
2021.07.16	151.795	152.603	151.424	151.522	36284	0	20
2021.07.18	151.544	151.555	151.144	151.220	3977	0	0
2021.07.19	151.220	151.301	149.312	149.706	53718	0	20
2021.07.20	149.705	149.967	148.455	149.862	51191	0	20
2021.07.21	149.861	151.335	149.284	151.166	40104	0	20
2021.07.22	151.164	151.904	150.734	151.688	41418	0	20
2021.07.23	151.688	152.153	151.532	151.925	32004	0	20
2021.07.25	151.958	152.125	151.909	152.075	2511	0	0
2021.07.26	152.072	152.599	151.400	152.506	28815	0	20
2021.07.27	152.510	152.535	151.571	152.425	34132	0	20
2021.07.28	152.424	152.985	152.176	152.803	34448	0	20
2021.07.29	152.802	153.437	152.494	152.771	28337	0	20
2021.07.30	152.770	153.206	152.437	152.515	26327	0	20
2021.08.01	152.463	152.554	152.298	152.448	2113	0	0
2021.08.02	152.447	152.851	151.531	151.775	25488	0	20
2021.08.03	151.778	152.192	151.160	151.677	26013	0	20
2021.08.04	151.676	152.504	151.510	152.132	27451	0	20
2021.08.05	152.130	153.020	152.115	152.848	29427	0	20
2021.08.06	152.851	153.240	152.649	152.915	23482	0	20
2021.08.08	152.946	153.013	152.818	152.889	4228	0	0
2021.08.09	152.892	153.058	152.573	152.751	22505	0	20
2021.08.10	152.748	153.306	152.616	153.011	21250	0	20
2021.08.11	153.010	153.286	152.863	153.046	22995	0	20
2021.08.12	153.045	153.194	152.323	152.467	18890	0	20
2021.08.13	152.471	152.546	151.923	151.993	16849	0	20
2021.08.15	151.890	152.171	151.845	151.979	3598	0	0
2021.08.16	151.977	151.982	150.919	151.272	23291	0	20
2021.08.17	151.271	151.290	150.347	150.499	26760	0	20
2021.08.18	150.497	151.403	150.436	150.951	23870	0	20
2021.08.19	150.947	151.207	149.562	149.612	33825	0	20
2021.08.20	149.610	149.873	149.169	149.564	25737	0	20
2021.08.22	149.478	149.700	149.344	149.647	1298	0	0
2021.08.23	149.646	150.750	149.642	150.504	22828	0	20
2021.08.24	150.507	151.006	150.053	150.595	21363	0	20
2021.08.25	150.592	151.450	150.438	151.368	20250	0	20
2021.08.26	151.371	151.588	150.605	150.762	23496	0	20
2021.08.27	150.763	151.513	150.452	151.135	23995	0	20
2021.08.29	151.135	151.230	151.035	151.194	919	0	0
2021.08.30	151.191	151.312	150.943	151.263	14455	0	20
2021.08.31	151.264	151.583	151.057	151.346	26731	0	20
2021.09.01	151.345	151.937	151.323	151.606	23156	0	20
2021.09.02	151.608	152.191	151.344	152.117	16944	0	20
2021.09.03	152.118	152.286	151.778	151.997	23994	0	20
2021.09.05	152.111	152.166	152.012	152.125	1339	0	0
2021.09.06	152.123	152.248	151.776	151.973	14531	0	0
2021.09.07	151.969	152.212	151.493	151.970	22722	0	20
2021.09.08	151.971	152.084	151.456	151.728	23894	0	20
2021.09.09	151.731	152.161	151.397	151.900	24197	0	20
2021.09.10	151.899	152.629	151.777	152.001	20423	0	20
2021.09.12	151.980	152.116	151.927	152.105	1372	0	0
2021.09.13	152.108	152.320	151.903	152.197	20303	0	0
2021.09.14	152.199	152.842	151.318	151.487	23501	0	20
2021.09.15	151.490	151.548	150.823	151.468	24539	0	20
2021.09.16	151.469	151.563	150.867	151.353	23341	0	20
2021.09.17	151.352	151.923	150.964	150.981	22339	0	20
2021.09.19	151.063	151.106	150.851	150.978	1253	0	0
2021.09.20	150.977	151.038	149.175	149.507	31844	0	20
2021.09.21	149.504	150.129	148.946	149.070	31384	0	20
2021.09.22	149.068	149.953	148.995	149.534	35914	0	20
2021.09.23	149.531	151.475	149.523	151.374	30401	0	20
2021.09.24	151.372	151.727	150.998	151.404	25508	0	20
2021.09.26	151.203	151.441	151.181	151.397	1285	0	0
2021.09.27	151.394	152.189	151.116	152.022	28692	0	20
2021.09.28	152.020	152.563	150.533	151.020	41084	0	20
2021.09.29	151.017	151.187	149.905	150.291	38718	0	20
